construct,genotype,mouse_id,sex,session_nr,block_nr,block_Id,trial_nr,trialtype,validity,CRonset,CRamp,CRpeaktime,FEC_amp,FEC_time,AmpAtTimeX,startle,CR
C57Bl/6J,wt,146,female,7,9,75746,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,8,9,75906,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,9,9,76066,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,10,9,76226,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,1,9,74784,12,tone10,valid,NaN,NaN,NaN,0.00794290002835552,927,0.00430283110368995,1,0
C57Bl/6J,wt,146,female,2,9,74944,12,tone10,valid,NaN,0.351498719249683,810,0.351498719249683,810,0.198383409750147,1,1
C57Bl/6J,wt,146,female,3,9,75104,12,tone10,valid,NaN,NaN,NaN,0.0686054024810536,657,0.0490302658470784,1,0
C57Bl/6J,wt,146,female,4,9,75270,12,tone10,valid,NaN,NaN,NaN,0.121498220815615,735,0.113318004314808,1,0
C57Bl/6J,wt,146,female,5,9,75426,12,tone10,valid,NaN,NaN,NaN,0.0725861808803845,717,0.0295417050914949,1,0
C57Bl/6J,wt,146,female,6,9,75587,12,tone10,valid,NaN,0.312559511179132,855,0.312559511179132,855,0.188785057395874,1,1
C57Bl/6J,wt,146,female,7,9,75746,12,tone10,valid,NaN,0.245619760438958,858,0.245619760438958,858,0.16402116105024,1,1
C57Bl/6J,wt,146,female,8,9,75906,12,tone10,valid,NaN,0.871702606639747,783,0.871702606639747,783,0.761870900489642,1,1
C57Bl/6J,wt,146,female,9,9,76066,12,tone10,valid,NaN,0.282457824014915,870,0.282457824014915,870,0.266694154956284,1,1
C57Bl/6J,wt,146,female,10,9,76226,12,tone10,invalid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,1,10,74787,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,2,10,74947,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,3,10,75107,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,4,10,75273,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,5,10,75429,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,6,10,75590,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,7,10,75749,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,8,10,75909,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,9,10,76070,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,10,10,76229,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,1,10,74787,12,tone10,valid,NaN,NaN,NaN,0.0155254482128768,963,-0.0319152854678478,1,0
C57Bl/6J,wt,146,female,2,10,74947,12,tone10,valid,NaN,0.49478535455655,819,0.49478535455655,819,0.425925411575639,1,1
C57Bl/6J,wt,146,female,3,10,75107,12,tone10,invalid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
